channel,num_users,Recall@20,Recall@50,Recall@100,mean_candidates
popular,3000,0.002,0.007666666666666666,0.013,1000.0
itemcf,3000,0.102,0.14133333333333334,0.18266666666666667,531.9816666666667
semantic,3000,0.042333333333333334,0.06066666666666667,0.08866666666666667,1000.0
generative,3000,0.06433333333333334,0.098,0.13333333333333333,99.34033333333333
merged,3000,0.09133333333333334,0.14033333333333334,0.18466666666666667,2382.5183333333334
