candidate_k,ranker,num_users,eval_seed,user_subset_hash,candidate_recall,pipeline_Recall@20,pipeline_NDCG@20,full_Recall@20,full_NDCG@20,recall_retention,ndcg_retention,mean_pool_size
100,mm_concat,10000,42,3dd297000dca95e5,0.1237,0.1028,0.054214280449385886,0.1393,0.06432552174648418,0.737975592246949,0.8428113597438339,100.0
200,mm_concat,10000,42,3dd297000dca95e5,0.1621,0.1168,0.05814606907144011,0.1393,0.06432552174648418,0.838478104809763,0.9039346668745549,200.0
500,mm_concat,10000,42,3dd297000dca95e5,0.232,0.1305,0.06248952115459865,0.1393,0.06432552174648418,0.936826992103374,0.9714576649821597,500.0
1000,mm_concat,10000,42,3dd297000dca95e5,0.2967,0.1335,0.06323085323378347,0.1393,0.06432552174648418,0.9583632447954056,0.9829823609202122,1000.0
2000,mm_concat,10000,42,3dd297000dca95e5,0.3791,0.1389,0.06468349910432726,0.1393,0.06432552174648418,0.9971284996410624,1.005565090622256,1998.3249
