channel,num_users,Recall@20,Recall@50,Recall@100,mean_candidates
popular,3000,0.002,0.007666666666666666,0.013,1000.0
itemcf,3000,0.102,0.14133333333333334,0.18266666666666667,531.9816666666667
semantic,3000,0.042333333333333334,0.06066666666666667,0.08866666666666667,1000.0
merged,3000,0.08533333333333333,0.13133333333333333,0.16333333333333333,2347.981
